Source,Source_Lat,Source_Lon,Destination,Dest_Lat,Dest_Lon,Road Type,Distance (km),Travel Time (hrs)
Erode,11.341,77.7172,Madurai,9.9252,78.1198,Highway,362.38,6.31
Tiruchirappalli,10.7905,78.7047,Vellore,12.9165,79.1325,State Road,485.9,12.13
Krishnagiri,12.5192,78.2138,Chennai,13.0827,80.2707,Local Road,64.33,1.29
Coimbatore,11.0168,76.9558,Nagercoil,8.1773,77.4344,Highway,499.93,10.19
Karur,10.9601,78.0766,Madurai,9.9252,78.1198,Highway,218.06,3.06
Thoothukudi,8.7642,78.1348,Dindigul,10.3624,77.9695,Highway,390.04,6.08
Karur,10.9601,78.0766,Vellore,12.9165,79.1325,State Road,210.07,4.72
Vellore,12.9165,79.1325,Salem,11.6643,78.146,Highway,336.46,8.01
Pudukkottai,10.3833,78.8167,Chennai,13.0827,80.2707,Highway,321.0,5.33
Thanjavur,10.7867,79.1386,Pudukkottai,10.3833,78.8167,Highway,373.89,5.07
Dindigul,10.3624,77.9695,Krishnagiri,12.5192,78.2138,Local Road,188.37,3.18
Sivakasi,9.4486,77.7984,Thanjavur,10.7867,79.1386,State Road,258.93,3.74
Pudukkottai,10.3833,78.8167,Coimbatore,11.0168,76.9558,Highway,242.13,5.03
Thanjavur,10.7867,79.1386,Cuddalore,11.7447,79.768,Local Road,127.82,2.53
Thanjavur,10.7867,79.1386,Tiruchirappalli,10.7905,78.7047,Local Road,206.07,4.13
Sivakasi,9.4486,77.7984,Thoothukudi,8.7642,78.1348,State Road,179.53,3.36
Krishnagiri,12.5192,78.2138,Salem,11.6643,78.146,Local Road,90.67,1.68
Krishnagiri,12.5192,78.2138,Dindigul,10.3624,77.9695,State Road,267.53,3.75
Karur,10.9601,78.0766,Kanchipuram,12.8342,79.7036,Local Road,269.39,5.56
Dharmapuri,12.1357,78.1603,Sivakasi,9.4486,77.7984,Highway,351.58,5.6
Dindigul,10.3624,77.9695,Sivakasi,9.4486,77.7984,Highway,137.81,2.23
Kanchipuram,12.8342,79.7036,Madurai,9.9252,78.1198,Highway,307.48,4.71
Dindigul,10.3624,77.9695,Krishnagiri,12.5192,78.2138,State Road,68.53,1.53
Sivakasi,9.4486,77.7984,Thanjavur,10.7867,79.1386,Highway,212.79,5.09
Salem,11.6643,78.146,Tirunelveli,8.7139,77.7567,Local Road,324.15,4.41
Kanchipuram,12.8342,79.7036,Erode,11.341,77.7172,Highway,332.08,4.53
Salem,11.6643,78.146,Chennai,13.0827,80.2707,State Road,482.76,7.84
Dharmapuri,12.1357,78.1603,Krishnagiri,12.5192,78.2138,Local Road,338.51,4.6
Salem,11.6643,78.146,Erode,11.341,77.7172,Highway,358.02,6.54
Nagercoil,8.1773,77.4344,Karur,10.9601,78.0766,Highway,183.21,4.39
Chennai,13.0827,80.2707,Sivakasi,9.4486,77.7984,Highway,200.39,2.61
Dindigul,10.3624,77.9695,Sivakasi,9.4486,77.7984,Highway,363.78,7.47
Sivakasi,9.4486,77.7984,Salem,11.6643,78.146,Highway,299.03,4.9
Krishnagiri,12.5192,78.2138,Salem,11.6643,78.146,Local Road,146.44,2.68
Chennai,13.0827,80.2707,Cuddalore,11.7447,79.768,Highway,473.94,6.72
Dharmapuri,12.1357,78.1603,Madurai,9.9252,78.1198,Highway,304.4,4.52
Kanchipuram,12.8342,79.7036,Tirunelveli,8.7139,77.7567,Highway,295.78,5.97
Coimbatore,11.0168,76.9558,Kanchipuram,12.8342,79.7036,Local Road,457.58,7.3
Krishnagiri,12.5192,78.2138,Salem,11.6643,78.146,State Road,314.59,4.15
Vellore,12.9165,79.1325,Thoothukudi,8.7642,78.1348,State Road,413.97,7.44
Thoothukudi,8.7642,78.1348,Erode,11.341,77.7172,Local Road,338.15,4.95
Thoothukudi,8.7642,78.1348,Dindigul,10.3624,77.9695,State Road,337.63,5.46
Thanjavur,10.7867,79.1386,Salem,11.6643,78.146,Highway,257.07,6.25
Erode,11.341,77.7172,Tirunelveli,8.7139,77.7567,Local Road,283.97,6.27
Coimbatore,11.0168,76.9558,Dindigul,10.3624,77.9695,Local Road,322.19,5.95
Madurai,9.9252,78.1198,Pudukkottai,10.3833,78.8167,Local Road,147.99,2.04
Karur,10.9601,78.0766,Nagercoil,8.1773,77.4344,Local Road,77.97,1.08
Coimbatore,11.0168,76.9558,Kanchipuram,12.8342,79.7036,State Road,468.19,6.06
Salem,11.6643,78.146,Coimbatore,11.0168,76.9558,Highway,85.9,1.99
Pudukkottai,10.3833,78.8167,Tirunelveli,8.7139,77.7567,Local Road,342.81,6.76
Thanjavur,10.7867,79.1386,Kanchipuram,12.8342,79.7036,Local Road,474.56,7.29
Kanchipuram,12.8342,79.7036,Chennai,13.0827,80.2707,Highway,61.45,1.05
Madurai,9.9252,78.1198,Krishnagiri,12.5192,78.2138,Local Road,389.04,7.6
Thanjavur,10.7867,79.1386,Erode,11.341,77.7172,Highway,332.6,4.96
Pudukkottai,10.3833,78.8167,Thoothukudi,8.7642,78.1348,Local Road,471.83,6.4
Tiruchirappalli,10.7905,78.7047,Cuddalore,11.7447,79.768,Highway,129.58,2.25
Dharmapuri,12.1357,78.1603,Kanchipuram,12.8342,79.7036,Local Road,401.3,6.4
Madurai,9.9252,78.1198,Chennai,13.0827,80.2707,Highway,75.12,1.68
Madurai,9.9252,78.1198,Nagercoil,8.1773,77.4344,Local Road,287.6,5.05
Erode,11.341,77.7172,Cuddalore,11.7447,79.768,Local Road,162.95,2.75
Karur,10.9601,78.0766,Kanchipuram,12.8342,79.7036,State Road,244.78,3.95
Madurai,9.9252,78.1198,Kanchipuram,12.8342,79.7036,State Road,283.13,5.04
Krishnagiri,12.5192,78.2138,Thoothukudi,8.7642,78.1348,Highway,386.67,8.18
Madurai,9.9252,78.1198,Thoothukudi,8.7642,78.1348,State Road,325.71,7.41
Madurai,9.9252,78.1198,Kanchipuram,12.8342,79.7036,Local Road,412.32,8.49
Kanchipuram,12.8342,79.7036,Krishnagiri,12.5192,78.2138,Local Road,430.34,7.48
Sivakasi,9.4486,77.7984,Dindigul,10.3624,77.9695,Highway,252.58,3.87
Sivakasi,9.4486,77.7984,Madurai,9.9252,78.1198,Highway,259.1,4.63
Krishnagiri,12.5192,78.2138,Tiruchirappalli,10.7905,78.7047,State Road,186.05,2.59
Cuddalore,11.7447,79.768,Thanjavur,10.7867,79.1386,Highway,432.95,9.41
Pudukkottai,10.3833,78.8167,Thoothukudi,8.7642,78.1348,State Road,114.87,1.94
Thoothukudi,8.7642,78.1348,Dindigul,10.3624,77.9695,Highway,441.49,7.47
Thoothukudi,8.7642,78.1348,Salem,11.6643,78.146,State Road,356.5,5.57
Dindigul,10.3624,77.9695,Dharmapuri,12.1357,78.1603,Local Road,231.18,3.97
Cuddalore,11.7447,79.768,Dindigul,10.3624,77.9695,Local Road,397.51,6.0
Thoothukudi,8.7642,78.1348,Dindigul,10.3624,77.9695,Highway,459.26,10.81
Madurai,9.9252,78.1198,Chennai,13.0827,80.2707,State Road,343.62,6.82
Chennai,13.0827,80.2707,Pudukkottai,10.3833,78.8167,Highway,69.87,1.27
Dharmapuri,12.1357,78.1603,Kanchipuram,12.8342,79.7036,State Road,213.92,3.55
Cuddalore,11.7447,79.768,Thoothukudi,8.7642,78.1348,Local Road,459.62,6.45
Chennai,13.0827,80.2707,Kanchipuram,12.8342,79.7036,Highway,478.58,6.58
Madurai,9.9252,78.1198,Thanjavur,10.7867,79.1386,State Road,436.25,9.69
Chennai,13.0827,80.2707,Sivakasi,9.4486,77.7984,Highway,60.9,0.87
Thanjavur,10.7867,79.1386,Chennai,13.0827,80.2707,State Road,236.4,4.42
Chennai,13.0827,80.2707,Pudukkottai,10.3833,78.8167,State Road,306.92,4.27
Tiruchirappalli,10.7905,78.7047,Thanjavur,10.7867,79.1386,State Road,274.1,6.77
Tiruchirappalli,10.7905,78.7047,Pudukkottai,10.3833,78.8167,State Road,261.35,3.43
Erode,11.341,77.7172,Chennai,13.0827,80.2707,State Road,73.93,1.09
Vellore,12.9165,79.1325,Dharmapuri,12.1357,78.1603,State Road,307.49,4.02
Krishnagiri,12.5192,78.2138,Madurai,9.9252,78.1198,Local Road,85.37,1.34
Chennai,13.0827,80.2707,Cuddalore,11.7447,79.768,Highway,280.32,6.02
Cuddalore,11.7447,79.768,Thanjavur,10.7867,79.1386,State Road,475.77,11.16
Coimbatore,11.0168,76.9558,Tiruchirappalli,10.7905,78.7047,Highway,277.99,6.26
Vellore,12.9165,79.1325,Dharmapuri,12.1357,78.1603,State Road,252.2,3.52
Tirunelveli,8.7139,77.7567,Salem,11.6643,78.146,State Road,297.72,6.14
Dindigul,10.3624,77.9695,Thanjavur,10.7867,79.1386,Highway,70.12,0.88
Tiruchirappalli,10.7905,78.7047,Salem,11.6643,78.146,State Road,226.8,3.3
Kanchipuram,12.8342,79.7036,Dindigul,10.3624,77.9695,Highway,255.61,5.64
Coimbatore,11.0168,76.9558,Thoothukudi,8.7642,78.1348,Local Road,396.04,9.68
Salem,11.6643,78.146,Tirunelveli,8.7139,77.7567,Highway,469.11,6.65
Salem,11.6643,78.146,Thoothukudi,8.7642,78.1348,Local Road,447.43,6.13
Nagercoil,8.1773,77.4344,Tirunelveli,8.7139,77.7567,Local Road,251.63,4.91
Cuddalore,11.7447,79.768,Karur,10.9601,78.0766,Local Road,112.74,1.62
Sivakasi,9.4486,77.7984,Krishnagiri,12.5192,78.2138,Local Road,359.02,6.05
Pudukkottai,10.3833,78.8167,Madurai,9.9252,78.1198,Local Road,493.24,6.51
Dindigul,10.3624,77.9695,Pudukkottai,10.3833,78.8167,Highway,92.35,1.72
Pudukkottai,10.3833,78.8167,Cuddalore,11.7447,79.768,Local Road,398.56,5.24
Chennai,13.0827,80.2707,Krishnagiri,12.5192,78.2138,Highway,149.8,2.97
Thoothukudi,8.7642,78.1348,Cuddalore,11.7447,79.768,Highway,117.87,2.43
Vellore,12.9165,79.1325,Thoothukudi,8.7642,78.1348,Local Road,231.16,2.98
Krishnagiri,12.5192,78.2138,Coimbatore,11.0168,76.9558,Highway,256.44,4.68
Thanjavur,10.7867,79.1386,Kanchipuram,12.8342,79.7036,Local Road,325.26,4.68
Dindigul,10.3624,77.9695,Chennai,13.0827,80.2707,Local Road,259.48,3.67
Krishnagiri,12.5192,78.2138,Sivakasi,9.4486,77.7984,Local Road,450.63,6.8
Erode,11.341,77.7172,Thoothukudi,8.7642,78.1348,Local Road,274.11,4.08
Madurai,9.9252,78.1198,Sivakasi,9.4486,77.7984,Highway,166.05,4.05
Krishnagiri,12.5192,78.2138,Kanchipuram,12.8342,79.7036,Highway,489.05,6.51
Thoothukudi,8.7642,78.1348,Tirunelveli,8.7139,77.7567,State Road,317.83,4.06
Thanjavur,10.7867,79.1386,Dharmapuri,12.1357,78.1603,State Road,253.12,4.03
Nagercoil,8.1773,77.4344,Coimbatore,11.0168,76.9558,Local Road,401.4,5.44
Madurai,9.9252,78.1198,Tirunelveli,8.7139,77.7567,State Road,487.51,7.3
Tiruchirappalli,10.7905,78.7047,Erode,11.341,77.7172,State Road,188.59,3.5
Kanchipuram,12.8342,79.7036,Nagercoil,8.1773,77.4344,State Road,395.33,7.62
Tiruchirappalli,10.7905,78.7047,Thoothukudi,8.7642,78.1348,Highway,405.81,5.1
Madurai,9.9252,78.1198,Dindigul,10.3624,77.9695,Local Road,181.46,3.87
Tirunelveli,8.7139,77.7567,Vellore,12.9165,79.1325,State Road,412.55,6.37
Erode,11.341,77.7172,Karur,10.9601,78.0766,Highway,450.63,7.64
Karur,10.9601,78.0766,Nagercoil,8.1773,77.4344,Highway,194.47,4.35
Nagercoil,8.1773,77.4344,Tiruchirappalli,10.7905,78.7047,Local Road,247.75,3.77
Krishnagiri,12.5192,78.2138,Pudukkottai,10.3833,78.8167,Highway,225.69,5.08
Tirunelveli,8.7139,77.7567,Kanchipuram,12.8342,79.7036,Highway,489.59,10.95
Coimbatore,11.0168,76.9558,Cuddalore,11.7447,79.768,State Road,449.95,7.61
Karur,10.9601,78.0766,Thanjavur,10.7867,79.1386,State Road,269.92,4.96
Thanjavur,10.7867,79.1386,Erode,11.341,77.7172,State Road,130.79,2.23
Sivakasi,9.4486,77.7984,Thanjavur,10.7867,79.1386,Local Road,237.94,3.41
Kanchipuram,12.8342,79.7036,Chennai,13.0827,80.2707,State Road,284.24,5.8
Kanchipuram,12.8342,79.7036,Tirunelveli,8.7139,77.7567,Highway,390.94,7.12
Thoothukudi,8.7642,78.1348,Erode,11.341,77.7172,Local Road,235.04,4.96
Tiruchirappalli,10.7905,78.7047,Kanchipuram,12.8342,79.7036,State Road,252.92,3.34
Kanchipuram,12.8342,79.7036,Pudukkottai,10.3833,78.8167,State Road,235.49,2.97
Kanchipuram,12.8342,79.7036,Sivakasi,9.4486,77.7984,Highway,235.88,3.18
Krishnagiri,12.5192,78.2138,Nagercoil,8.1773,77.4344,Local Road,282.29,4.52
Dindigul,10.3624,77.9695,Salem,11.6643,78.146,Highway,439.7,5.55
Erode,11.341,77.7172,Krishnagiri,12.5192,78.2138,State Road,362.05,6.06
Chennai,13.0827,80.2707,Sivakasi,9.4486,77.7984,Local Road,389.89,5.59
Vellore,12.9165,79.1325,Sivakasi,9.4486,77.7984,Highway,380.39,5.44
Krishnagiri,12.5192,78.2138,Tirunelveli,8.7139,77.7567,State Road,353.66,7.33
Karur,10.9601,78.0766,Krishnagiri,12.5192,78.2138,Local Road,473.18,11.15
Vellore,12.9165,79.1325,Tirunelveli,8.7139,77.7567,Highway,74.05,0.96
Salem,11.6643,78.146,Nagercoil,8.1773,77.4344,Highway,352.12,5.87
Tiruchirappalli,10.7905,78.7047,Cuddalore,11.7447,79.768,Highway,496.56,7.46
Nagercoil,8.1773,77.4344,Coimbatore,11.0168,76.9558,Local Road,261.12,4.73
Tiruchirappalli,10.7905,78.7047,Thanjavur,10.7867,79.1386,State Road,276.44,3.67
Sivakasi,9.4486,77.7984,Dharmapuri,12.1357,78.1603,Highway,263.89,3.3
Dindigul,10.3624,77.9695,Vellore,12.9165,79.1325,Local Road,488.89,9.42
Karur,10.9601,78.0766,Cuddalore,11.7447,79.768,Local Road,399.89,5.77
Tiruchirappalli,10.7905,78.7047,Pudukkottai,10.3833,78.8167,Local Road,149.23,2.87
Thanjavur,10.7867,79.1386,Tirunelveli,8.7139,77.7567,State Road,371.03,6.19
Salem,11.6643,78.146,Tirunelveli,8.7139,77.7567,Local Road,380.33,6.73
Thanjavur,10.7867,79.1386,Erode,11.341,77.7172,Local Road,81.63,1.36
Kanchipuram,12.8342,79.7036,Vellore,12.9165,79.1325,Highway,480.15,7.72
Chennai,13.0827,80.2707,Madurai,9.9252,78.1198,Highway,214.41,4.93
Sivakasi,9.4486,77.7984,Vellore,12.9165,79.1325,Highway,264.9,5.2
Karur,10.9601,78.0766,Krishnagiri,12.5192,78.2138,State Road,141.75,1.85
Cuddalore,11.7447,79.768,Thanjavur,10.7867,79.1386,Highway,265.82,3.59
Erode,11.341,77.7172,Salem,11.6643,78.146,State Road,406.86,6.73
Karur,10.9601,78.0766,Salem,11.6643,78.146,State Road,327.51,4.77
Karur,10.9601,78.0766,Pudukkottai,10.3833,78.8167,State Road,66.37,0.93
Karur,10.9601,78.0766,Nagercoil,8.1773,77.4344,State Road,322.12,6.01
Dindigul,10.3624,77.9695,Sivakasi,9.4486,77.7984,Local Road,425.44,6.72
Cuddalore,11.7447,79.768,Sivakasi,9.4486,77.7984,State Road,476.95,7.71
Thanjavur,10.7867,79.1386,Thoothukudi,8.7642,78.1348,Local Road,169.33,3.51
Dharmapuri,12.1357,78.1603,Salem,11.6643,78.146,Highway,65.79,0.96
Thoothukudi,8.7642,78.1348,Dindigul,10.3624,77.9695,Local Road,365.17,6.64
Salem,11.6643,78.146,Thanjavur,10.7867,79.1386,Highway,279.58,5.87
Salem,11.6643,78.146,Krishnagiri,12.5192,78.2138,Highway,467.86,10.75
Thanjavur,10.7867,79.1386,Kanchipuram,12.8342,79.7036,Local Road,201.96,4.1
Krishnagiri,12.5192,78.2138,Tiruchirappalli,10.7905,78.7047,State Road,262.67,5.57
Thoothukudi,8.7642,78.1348,Salem,11.6643,78.146,Local Road,418.8,6.0
Sivakasi,9.4486,77.7984,Erode,11.341,77.7172,Highway,281.3,4.74
Pudukkottai,10.3833,78.8167,Chennai,13.0827,80.2707,Local Road,459.51,6.38
Pudukkottai,10.3833,78.8167,Cuddalore,11.7447,79.768,State Road,421.27,8.08
Dindigul,10.3624,77.9695,Coimbatore,11.0168,76.9558,State Road,72.87,1.15
Coimbatore,11.0168,76.9558,Kanchipuram,12.8342,79.7036,State Road,363.76,6.1
Karur,10.9601,78.0766,Thanjavur,10.7867,79.1386,Local Road,298.07,3.99
Nagercoil,8.1773,77.4344,Dindigul,10.3624,77.9695,Highway,258.88,3.9
Vellore,12.9165,79.1325,Krishnagiri,12.5192,78.2138,State Road,466.24,7.36
Dharmapuri,12.1357,78.1603,Salem,11.6643,78.146,Highway,147.92,2.24
Tirunelveli,8.7139,77.7567,Kanchipuram,12.8342,79.7036,Local Road,77.72,1.11
Sivakasi,9.4486,77.7984,Vellore,12.9165,79.1325,State Road,304.54,4.38
Coimbatore,11.0168,76.9558,Dindigul,10.3624,77.9695,State Road,381.43,8.58
Pudukkottai,10.3833,78.8167,Krishnagiri,12.5192,78.2138,State Road,370.2,5.04
Dindigul,10.3624,77.9695,Cuddalore,11.7447,79.768,State Road,453.42,8.13
Coimbatore,11.0168,76.9558,Kanchipuram,12.8342,79.7036,Highway,441.94,8.22
Nagercoil,8.1773,77.4344,Thanjavur,10.7867,79.1386,State Road,428.85,5.95
Chennai,13.0827,80.2707,Pudukkottai,10.3833,78.8167,Local Road,266.49,5.38
Dindigul,10.3624,77.9695,Tiruchirappalli,10.7905,78.7047,Highway,105.96,2.46
Vellore,12.9165,79.1325,Kanchipuram,12.8342,79.7036,Local Road,345.09,7.2
Kanchipuram,12.8342,79.7036,Thanjavur,10.7867,79.1386,Highway,485.36,6.24
Sivakasi,9.4486,77.7984,Salem,11.6643,78.146,Local Road,354.38,6.19
Coimbatore,11.0168,76.9558,Tiruchirappalli,10.7905,78.7047,Local Road,265.67,3.51
Chennai,13.0827,80.2707,Kanchipuram,12.8342,79.7036,Local Road,99.42,2.12
Salem,11.6643,78.146,Krishnagiri,12.5192,78.2138,State Road,462.57,7.83
Kanchipuram,12.8342,79.7036,Dindigul,10.3624,77.9695,State Road,117.48,1.64
Kanchipuram,12.8342,79.7036,Thanjavur,10.7867,79.1386,State Road,320.95,5.11
Chennai,13.0827,80.2707,Tirunelveli,8.7139,77.7567,Local Road,73.92,1.44
Tiruchirappalli,10.7905,78.7047,Pudukkottai,10.3833,78.8167,Highway,213.27,3.17
Coimbatore,11.0168,76.9558,Sivakasi,9.4486,77.7984,State Road,384.21,6.01
Sivakasi,9.4486,77.7984,Coimbatore,11.0168,76.9558,State Road,363.28,7.79
Dharmapuri,12.1357,78.1603,Cuddalore,11.7447,79.768,State Road,148.53,1.89
Erode,11.341,77.7172,Coimbatore,11.0168,76.9558,Local Road,482.04,9.45
Salem,11.6643,78.146,Nagercoil,8.1773,77.4344,Highway,268.29,3.5
Sivakasi,9.4486,77.7984,Karur,10.9601,78.0766,State Road,295.66,5.9
Chennai,13.0827,80.2707,Kanchipuram,12.8342,79.7036,Highway,353.98,7.74
Krishnagiri,12.5192,78.2138,Tirunelveli,8.7139,77.7567,State Road,362.84,6.33
Sivakasi,9.4486,77.7984,Madurai,9.9252,78.1198,State Road,187.58,3.34
Dindigul,10.3624,77.9695,Tirunelveli,8.7139,77.7567,State Road,313.33,5.61
Tiruchirappalli,10.7905,78.7047,Thoothukudi,8.7642,78.1348,State Road,367.09,5.51
Krishnagiri,12.5192,78.2138,Karur,10.9601,78.0766,Local Road,315.9,6.25
Dindigul,10.3624,77.9695,Pudukkottai,10.3833,78.8167,State Road,223.17,3.12
Salem,11.6643,78.146,Tirunelveli,8.7139,77.7567,State Road,162.9,2.95
Pudukkottai,10.3833,78.8167,Krishnagiri,12.5192,78.2138,State Road,174.18,2.8
Tirunelveli,8.7139,77.7567,Nagercoil,8.1773,77.4344,State Road,98.56,2.05
Tirunelveli,8.7139,77.7567,Vellore,12.9165,79.1325,State Road,226.5,2.94
Vellore,12.9165,79.1325,Krishnagiri,12.5192,78.2138,Local Road,300.63,7.16
Dindigul,10.3624,77.9695,Nagercoil,8.1773,77.4344,State Road,249.77,3.71
Karur,10.9601,78.0766,Chennai,13.0827,80.2707,Highway,243.26,4.97
Krishnagiri,12.5192,78.2138,Thanjavur,10.7867,79.1386,State Road,272.82,4.17
Thanjavur,10.7867,79.1386,Coimbatore,11.0168,76.9558,Highway,159.6,2.19
Salem,11.6643,78.146,Erode,11.341,77.7172,Highway,327.44,5.02
Pudukkottai,10.3833,78.8167,Krishnagiri,12.5192,78.2138,State Road,255.67,3.28
Kanchipuram,12.8342,79.7036,Tiruchirappalli,10.7905,78.7047,State Road,493.14,6.45
Tiruchirappalli,10.7905,78.7047,Krishnagiri,12.5192,78.2138,Local Road,413.78,6.65
Cuddalore,11.7447,79.768,Dindigul,10.3624,77.9695,Local Road,395.01,9.42
Erode,11.341,77.7172,Thoothukudi,8.7642,78.1348,State Road,188.5,2.42
Kanchipuram,12.8342,79.7036,Karur,10.9601,78.0766,Highway,222.55,4.29
Nagercoil,8.1773,77.4344,Coimbatore,11.0168,76.9558,Highway,374.21,5.0
Vellore,12.9165,79.1325,Nagercoil,8.1773,77.4344,Highway,498.69,9.15
Coimbatore,11.0168,76.9558,Kanchipuram,12.8342,79.7036,Highway,412.36,6.05
Coimbatore,11.0168,76.9558,Tiruchirappalli,10.7905,78.7047,Local Road,357.77,6.92
Vellore,12.9165,79.1325,Chennai,13.0827,80.2707,Local Road,481.19,8.52
Thoothukudi,8.7642,78.1348,Tiruchirappalli,10.7905,78.7047,Local Road,106.89,1.94
Krishnagiri,12.5192,78.2138,Tiruchirappalli,10.7905,78.7047,Highway,297.92,6.04
Nagercoil,8.1773,77.4344,Madurai,9.9252,78.1198,State Road,338.82,6.3
Tirunelveli,8.7139,77.7567,Salem,11.6643,78.146,State Road,425.46,7.71
Nagercoil,8.1773,77.4344,Erode,11.341,77.7172,Local Road,450.18,9.36
Vellore,12.9165,79.1325,Chennai,13.0827,80.2707,State Road,110.9,2.33
Erode,11.341,77.7172,Salem,11.6643,78.146,Local Road,222.99,4.74
Nagercoil,8.1773,77.4344,Madurai,9.9252,78.1198,Highway,223.45,3.71
Dharmapuri,12.1357,78.1603,Coimbatore,11.0168,76.9558,Highway,340.34,5.44
Salem,11.6643,78.146,Kanchipuram,12.8342,79.7036,Local Road,123.04,2.18
Madurai,9.9252,78.1198,Pudukkottai,10.3833,78.8167,Highway,386.86,6.05
Karur,10.9601,78.0766,Cuddalore,11.7447,79.768,State Road,262.93,4.57
Cuddalore,11.7447,79.768,Thanjavur,10.7867,79.1386,State Road,110.4,2.2
Dharmapuri,12.1357,78.1603,Thoothukudi,8.7642,78.1348,State Road,356.56,5.43
Dharmapuri,12.1357,78.1603,Karur,10.9601,78.0766,Local Road,388.19,6.46
Thoothukudi,8.7642,78.1348,Vellore,12.9165,79.1325,Highway,490.89,8.64
Tirunelveli,8.7139,77.7567,Krishnagiri,12.5192,78.2138,State Road,450.05,8.43
Sivakasi,9.4486,77.7984,Pudukkottai,10.3833,78.8167,Highway,439.46,8.06
Tiruchirappalli,10.7905,78.7047,Chennai,13.0827,80.2707,Highway,176.41,4.01
Salem,11.6643,78.146,Nagercoil,8.1773,77.4344,Local Road,499.34,9.11
Salem,11.6643,78.146,Tiruchirappalli,10.7905,78.7047,Local Road,312.14,4.84
Dharmapuri,12.1357,78.1603,Kanchipuram,12.8342,79.7036,State Road,183.42,3.07
Cuddalore,11.7447,79.768,Sivakasi,9.4486,77.7984,State Road,344.01,5.04
Krishnagiri,12.5192,78.2138,Tiruchirappalli,10.7905,78.7047,Local Road,325.63,6.0
Erode,11.341,77.7172,Madurai,9.9252,78.1198,State Road,423.79,6.28
Nagercoil,8.1773,77.4344,Vellore,12.9165,79.1325,State Road,109.96,1.44
Chennai,13.0827,80.2707,Dharmapuri,12.1357,78.1603,Local Road,267.78,5.06
Krishnagiri,12.5192,78.2138,Dharmapuri,12.1357,78.1603,State Road,133.99,1.86
Kanchipuram,12.8342,79.7036,Dindigul,10.3624,77.9695,Highway,237.78,3.91
Kanchipuram,12.8342,79.7036,Sivakasi,9.4486,77.7984,State Road,305.28,4.78
Coimbatore,11.0168,76.9558,Krishnagiri,12.5192,78.2138,State Road,405.15,6.0
Thoothukudi,8.7642,78.1348,Tiruchirappalli,10.7905,78.7047,State Road,337.35,5.45
Karur,10.9601,78.0766,Chennai,13.0827,80.2707,Highway,181.48,2.5
